Durum,Rapor Aciklamasi
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Yaşar Kerem in gün boyu tek çalıştığı tespit edilmiştir.
Müspet,30.01.2018 günü C-1701 kodlu araca yapılan denetimde aracın sürücüsü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,30.01.2017 günü C-1736 kodlu araca yapılan denetimde aracın sürücüsü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,30.01.2017 günü C-1759 kodlu araca yapılan denetimde sürücü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,30.01.2018 gunu C-1764 kodlu araca yapılan denetimde aracın sürücüsü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,30.01.2018 günü C-1762 kodlu araca yapılan denetimde sürücü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,27.01.2018 gunu 15.15 te C-1619 kodlu araca İETT personeli perlan Özdemir ile ailesi ile birlikte kartını göstererek araca binmek istemiş sürücü bayana kaba Konustugu bize bildirilmistir
Menfi,19E ARACI YENİDOĞAN İSTİKAMETİNE GİDİŞTE CEMİLE BESLER DURAĞINDA 19 E ARAÇLARI PEŞ PEŞE GEÇTİRLER VE DURAKTA DURMADILAR ŞİKAYETÇİYİM 34 FL 3579 PLAKALI ARAÇ VE BİR ÖNCEKİ ARAÇ iett tespit: 28 km
Müspet,TRABZON CADDESİ DURAĞINDA ENGELLİ VATANDAŞ ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI ARZ EDERİM RAMPAYI AÇMASINI SÖYLEDİK ARKA GEÇİNDE BASTI GİTTİ 34ZD073 131
Müspet,30.01.2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Müspet,30.01.2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Menfi,sabah ve akşam yapılan fiziki denetimde KENAN KARAKAYA nin gün boyu tek çalıştığı tespit edilmiştir
Müspet,30.01.2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla olarak çalıştığı anlaşılmıştır
Menfi,sabah ve akşam yapılan fiziki denetimde KEMAL GÖKÇE nin gün boyu tek çalıştığı tespit edilmiştir
Menfi,sabah ve akşam yapılan fiziki denetimde MESUT OKTAY ın gün boyu tek çalıştığı tespit edilmiştir
Menfi,sabah ve akşam yapılan fiziki denetimde ERGÜN GÜL ün gün boyu tek çalıştığı tespit edilmiştir.
